,store,sido,gungu,address
0,강남역,"
										서울",강남구,"
										서울 강남구 역삼동 619-28
										(서울 강남구 강남대로 98길 11)
										02 -596-1991
									"
1,개포1호,"
										서울",강남구,"
										서울 강남구 개포동 1229-18
										(서울 강남구 논현로16길 5)
										02 -573-5699,5499
									"
2,개포2호,"
										서울",강남구,"
										서울 강남구 개포동 158-4
										(서울 강남구 선릉로6길 12(개포동))
										02 -5779667
									"
3,논현1호(서울),"
										서울",강남구,"
										서울 강남구 논현동 164-16
										(서울 강남구 학동로2길 50(논현동))
										02 -540-2182
									"
4,대치1호,"
										서울",강남구,"
										서울 강남구 대치동936
										(서울 강남구 선릉로 312)
										02 -556-3599
									"
5,대치2호,"
										서울",강남구,"
										서울 강남구 대치동 989-4
										(서울 강남구 삼성로58길 7(대치동))
										02 -556-9963
									"
6,도곡,"
										서울",강남구,"
										서울 강남구 도곡동 416-4
										(서울 강남구 논현로38길 30  1층)
										02 -6494-0103
									"
7,삼성1호,"
										서울",강남구,"
										서울 강남구 삼성동 44-18
										(서울 강남구 봉은사로 451)
										02 -515-2399
									"
8,세곡,"
										서울",강남구,"
										서울 강남구 자곡동 611
										(서울 강남구 자곡로 101 강남레미안힐즈상가 103호)
										02 -2226-1991
									"
9,압구정신사,"
										서울",강남구,"
										서울 강남구 신사동 640-5 대성빌딩 1층 1호
										(서울 강남구 언주로172길 29, 대성빌딩 1층 1호)
										02 -547-9945
									"
10,역삼1호,"
										서울",강남구,"
										서울 강남구 역삼동 837-15
										(서울 강남구 강남대로 66길 16 1층)
										02 -566-9942
									"
11,일원1동,"
										서울",강남구,"
										서울 강남구 일원동 645
										(서울 강남구 일원로9길 48(일원동))
										02 -459-1006
									"
12,일원본동,"
										서울",강남구,"
										서울 강남구 수서동 747 삼성아파트 상가 104호
										(서울 강남구 광평로31길 27, 삼성아파트 상가 104호)
										02 -2226-4080
									"
13,청담역,"
										서울",강남구,"
										서울 강남구 청담동 65 진흥아파트상가
										(서울 강남구 학동로 87길 9 진흥아파트상가)
										02 -515-9995,515-9975
									"
14,강일,"
										서울",강동구,"
										서울 강동구 강일동 679-3 리슈빌오피스텔
										(서울 강동구 아리수로 419 리슈빌오피스텔)
										02 -426-6692,6696
									"
15,고덕1호(서울),"
										서울",강동구,"
										서울 강동구 고덕동 650-1
										(서울 강동구 고덕로61길 116)
										02 -481-9503~4
									"
16,길1호,"
										서울",강동구,"
										서울 강동구 길동 347-31
										(서울 강동구 천중로 201)
										02 -473-0092
									"
17,길동역,"
										서울",강동구,"
										서울 강동구 길동 388-3
										(서울 강동구 양재대로 111길 18)
										02 -478-6780
									"
18,둔촌1호,"
										서울",강동구,"
										서울 강동구 둔촌동 454-5
										(서울 강동구 진황도로 168(둔촌동,예창빌딩))
										02 -475-9295
									"
19,명일1호,"
										서울",강동구,"
										서울 강동구 명일동 328-2
										(서울 강동구 구천면로 438)
										02 -3426-9199
									"
20,상일,"
										서울",강동구,"
										서울 강동구 고덕동 200-3
										(서울 강동구 상일로15길 6(고덕동,재도빌딩))
										02 -441-1991
									"
21,상일2호,"
										서울",강동구,"
										서울 강동구 구천면로 640
										(서울 강동구 구천면로 640, 고덕 롯데캐슬 베네루체 상가A동 114호)
										02 -428-9266
									"
22,성내,"
										서울",강동구,"
										서울 강동구 성내2동 509-7 1층
										(서울 강동구 풍성로 143, 1층)
										02 -485-9293
									"
23,암사1호,"
										서울",강동구,"
										서울 강동구 암사동 504-37
										(서울 강동구 올림픽로 807)
										02 -426-8533
									"
24,암사2호,"
										서울",강동구,"
										서울 강동구 암사동 451-18
										(서울 강동구 고덕로 109,)
										02 -427-9982
									"
25,천호1호,"
										서울",강동구,"
										서울 강동구 천호동 571
										(서울 강동구 천호대로 1077)
										02 -470-9908
									"
26,덕성여대,"
										서울",강북구,"
										서울 강북구 우이동 72-133
										(서울 강북구 삼양로 531)
										02 -900-3123
									"
27,미아1호,"
										서울",강북구,"
										서울 강북구 미아동 561-2 현대성우아파트 상가 104호
										(서울 삼양로 24길 19. 현대성우아파트 상가 104호)
										02 -987-9280
									"
28,미아사거리,"
										서울",강북구,"
										서울 강북구 미아동 55-5
										(서울 강북구 도봉로8길 35)
										02 -984-3434
									"
29,미아역,"
										서울",강북구,"
										서울 강북구 미아동 131-8
										(서울 강북구 도봉로 142)
										02 -989-6288
									"
30,번동,"
										서울",강북구,"
										서울 강북구 번동 169-1
										(서울 강북구 한천로 109길 59 일신빌딩 1층)
										02 -981-0991
									"
31,수유1호,"
										서울",강북구,"
										서울 강북구 수유동 385-2
										(서울 강북구 삼각산로 119)
										02 -994-8911~2
									"
32,수유2호,"
										서울",강북구,"
										서울 강북구 수유동 57-2
										(서울 강북구 수유로 12)
										02 -985-1991
									"
